ID,Название,Ключи,Данные
2247,"Поздравляем вас с тем, что вы заняли {0}-е место в рейтинге!",,4110985985 2849846911 2112684527
2248,"Поздравляем вас с тем, что вы заняли {0}-е место в рейтинге","dJ, ""|",3911732546 3479323453 1977492187
2249,Сезон скоро будет обновл,"7S, '_K",2315507420 4144889521 2944033499
2250,"н. Пожалуйста, обратите внимание на время окончания сезона. Пожалуйста, забирайте награды в Пути Славы как можно скорее!",Z?[,4081489962 2670536510 860021022
2251,часов,"lR,  I",2523083926 420724503 2464351599
2252,минут,,4058306336 4091546778 2861491733
2253,Привязать почту,@\4o,1127448062 1380077921 290774141
2254,Изменить почту,KA~(,1997348824 1541257858 3126986341
2255,Изменить пароль,0Y,3944969891 4075286321 149506730
2256,Создать аккаунт,"N5, `c",1181435469 3603907735 2881717575
2257,Забыли пароль,#-,3465603249 4259725371 4182322560
2258,Ошибка адреса почты!,QF,831814045 866963698 1126261949
2259,Пароли не совпадают.,tt!,2072699707 3689417639 1333123779
2260,Ошибка кода подтверждения!,"\PJ, vg""}",3042899332 812388682 952367224
2261,Этот адрес уже используется!,"Ub-^, xz",701076384 2941475473 2646634357
2262,Почта:,,2394268441 4114891230 1648401643
2263,Не привязано,seD,4263472657 3130592418 2036886152
2264,Неверный пароль!,"Xasw, 7'",4060294227 125622788 2366901402
2265,Пароль: 6-20 символов!,"ad, Ee",2322486857 1151031629 3244999291
2266,Войти,"yL, &k",3179761219 2771881593 2091530927
2267,Заполните все поля!,"5Ao+, Lp",2500203345 1424241284 143054939
2268,Аккаунт не существует.,"7K2, wm",1201829916 2938744895 622438489
2269,Осталось:{0},".4, Q(, v}, &v",3278050673 4287413279 1330787139
2270,Действ.{0},v-,4055250058 1581692190 2404030354
2271,Ошибка данных входа.,.P,3165758302 527378042 2101346333
2272,Пользователь не существует.,"z""",3987239102 2009778814 2856097150
2273,Почта,"eZu, =m, I6",972633412 2471607787 552126283
2274,Гость,f$,3246129137 1672298529 2866785954
2275,Гостевой режим небезопасен и ограничен.,":LZ}, Nd, El, dO2",2500862957 2938409428 49607712
2276,Привязать гостевой аккаунт к почте?,_d,519564062 3743300238 3016532202
2277,Успешно привязано!,"bO, Ut, !p",790165617 3598156679 3513085133
2278,Создать,"l#, BC",2955447750 4280050401 571850820
2279,Привязать,I!d,3699836128 2056998568 3773118136
2280,Тайм-аут запроса!,~U:9,3751038676 4158781800 1152001560
2281,Платеж успешен,"PuN, cKq",1944323221 1001053536 4002121739
2282,Последний вход:,"~|, 0R",2258193124 891877095 1699227252
2283,Рейтинг,"Q&, m>, hk",2474521118 3431110468 333183089
2284,Герой,"""q, d2",4037889409 4141252238 1413173443
2285,Серия побед,ccO,1641132354 1407966639 764854418
2286,Артефакт,Dk,2757495242 3377399245 3630383521
2287,Счастливый звезда,j]nX,4109592928 2098506800 655911762
2288,Не удалось получить аккаунт,,906346332 4238696870 3807287695
2289,"Пожалуйста, перезапустите клиент","c@, ?$, zK)S4, F)",1910183248 2205758668 3842946686
2290,Выбор скина,"@j;NHt, hdn",606422652 520842252 3281758788
2291,До начала турнира,",>UPx, -0U",3253473079 1938676491 4019321240
